step,episodes,epsilon,train/ep_reward,train/ep_len,exploration/unique_obs,exploration/frontier_rate,loss/q,loss/b,recent_policy,eval_masked/mean_reward,eval_masked/success,eval_q/mean_reward,eval_q/success
250,1,0.9998,0.0000,250,43,0.1720,0.000014,1.948995,eps,,,,
500,2,0.9995,0.0000,250,30,0.1000,0.000035,1.942536,eps,,,,
750,3,0.9993,0.0000,250,22,0.0360,0.000005,1.931931,eps,,,,
1000,4,0.9990,0.0000,250,35,0.0600,0.000018,1.953460,eps,,,,
1250,5,0.9988,0.0000,250,25,0.0200,0.000010,1.935757,eps,,,,
1500,6,0.9986,0.0000,250,20,0.0280,0.000003,1.941253,eps,,,,
1750,7,0.9983,0.0000,250,20,0.0280,0.000004,1.934443,eps,,,,
2000,8,0.9981,0.0000,250,19,0.0040,0.000045,1.934233,eps,,,,
2250,9,0.9979,0.0000,250,34,0.0600,0.000053,1.935014,eps,,,,
2500,10,0.9976,0.0000,250,32,0.0280,0.000089,1.949894,eps,,,,
2750,11,0.9974,0.0000,250,24,0.0040,0.000040,1.949493,eps,,,,
3000,12,0.9971,0.0000,250,22,0.0000,0.000014,1.912934,eps,,,,
3250,13,0.9969,0.0000,250,23,0.0000,0.000113,1.950192,eps,,,,
3500,14,0.9967,0.0000,250,18,0.0000,0.000017,1.939609,eps,,,,
3750,15,0.9964,0.0000,250,16,0.0000,0.000201,1.960500,eps,,,,
4000,16,0.9962,0.0000,250,8,0.0000,0.000046,1.949019,eps,,,,
4250,17,0.9960,0.0000,250,13,0.0000,0.001094,1.927469,eps,,,,
4500,18,0.9957,0.0000,250,9,0.0000,0.000154,1.932320,eps,,,,
4611,19,0.9956,0.6004,111,15,0.0541,0.000042,1.919004,eps,,,,
4861,20,0.9954,0.0000,250,24,0.0080,0.000028,1.976438,eps,,,,
5111,21,0.9951,0.0000,250,11,0.0000,0.002901,1.945097,eps,,,,
5361,22,0.9949,0.0000,250,18,0.0000,0.002827,1.933900,eps,,,,
5611,23,0.9947,0.0000,250,22,0.0000,0.001689,1.921832,eps,,,,
5861,24,0.9944,0.0000,250,26,0.0160,0.000023,1.940134,eps,,,,
5981,25,0.9943,0.5680,120,20,0.0500,0.000077,1.955600,eps,,,,
6231,26,0.9941,0.0000,250,12,0.0000,0.000552,1.937166,eps,,,,
6481,27,0.9938,0.0000,250,14,0.0000,0.000184,1.976303,eps,,,,
6677,28,0.9937,0.2944,196,34,0.0204,0.002647,1.951145,eps,,,,
6927,29,0.9934,0.0000,250,21,0.0000,0.000437,1.977431,eps,,,,
7177,30,0.9932,0.0000,250,15,0.0000,0.000265,1.933023,eps,,,,
7427,31,0.9929,0.0000,250,26,0.0040,0.000521,1.921900,eps,,,,
7677,32,0.9927,0.0000,250,24,0.0240,0.000605,1.917145,eps,,,,
7927,33,0.9925,0.0000,250,26,0.0120,0.000123,1.982630,eps,,,,
8177,34,0.9922,0.0000,250,17,0.0000,0.000580,1.910462,eps,,,,
8427,35,0.9920,0.0000,250,9,0.0000,0.000592,1.934882,eps,,,,
8677,36,0.9918,0.0000,250,17,0.0000,0.005434,1.940580,eps,,,,
8744,37,0.9917,0.7588,67,19,0.0149,0.000499,1.914129,eps,,,,
8871,38,0.9916,0.5428,127,20,0.0157,0.000380,1.938721,eps,,,,
9121,39,0.9913,0.0000,250,32,0.0000,0.005946,1.931462,eps,,,,
9371,40,0.9911,0.0000,250,24,0.0000,0.000624,1.952792,eps,,,,
9621,41,0.9909,0.0000,250,20,0.0040,0.001181,1.941114,eps,,,,
9871,42,0.9906,0.0000,250,19,0.0000,0.000399,1.945691,eps,,,,
10063,43,0.9904,0.3088,192,27,0.0156,0.000487,1.955530,eps,,,,
10313,44,0.9902,0.0000,250,9,0.0000,0.001727,1.955073,eps,,,,
10563,45,0.9900,0.0000,250,16,0.0000,0.000813,1.936286,eps,,,,
10813,46,0.9897,0.0000,250,18,0.0000,0.000616,1.959626,eps,,,,
11063,47,0.9895,0.0000,250,13,0.0000,0.000414,1.841451,eps,,,,
11313,48,0.9893,0.0000,250,27,0.0200,0.000714,1.927035,eps,,,,
11563,49,0.9890,0.0000,250,16,0.0000,0.001359,1.913239,eps,,,,
11813,50,0.9888,0.0000,250,23,0.0000,0.000196,1.904872,eps,,,,
11936,51,0.9887,0.5572,123,28,0.0569,0.000310,1.934149,eps,,,,
12116,52,0.9885,0.3520,180,29,0.0222,0.000175,1.924627,eps,,,,
12366,53,0.9883,0.0000,250,24,0.0000,0.000197,1.941250,eps,,,,
12616,54,0.9880,0.0000,250,14,0.0000,0.000878,1.948273,eps,,,,
12866,55,0.9878,0.0000,250,21,0.0000,0.000615,1.932725,eps,,,,
13116,56,0.9875,0.0000,250,13,0.0000,0.000748,1.937318,eps,,,,
13366,57,0.9873,0.0000,250,16,0.0000,0.000881,1.924953,eps,,,,
13616,58,0.9871,0.0000,250,18,0.0000,0.000830,1.957861,eps,,,,
13866,59,0.9868,0.0000,250,28,0.0200,0.000204,1.965364,eps,,,,
14116,60,0.9866,0.0000,250,29,0.0040,0.000594,1.907736,eps,,,,
14334,61,0.9864,0.2152,218,24,0.0229,0.000171,1.936390,eps,,,,
14584,62,0.9861,0.0000,250,17,0.0000,0.010674,1.943712,eps,,,,
14834,63,0.9859,0.0000,250,38,0.0160,0.006201,1.947996,eps,,,,
15084,64,0.9857,0.0000,250,27,0.0000,0.001951,1.939630,eps,,,,
15334,65,0.9854,0.0000,250,17,0.0000,0.000521,1.942711,eps,,,,
15584,66,0.9852,0.0000,250,15,0.0000,0.000176,1.943981,eps,,,,
15834,67,0.9850,0.0000,250,32,0.0040,0.001865,1.930566,eps,,,,
16084,68,0.9847,0.0000,250,31,0.0000,0.000690,1.897979,eps,,,,
16334,69,0.9845,0.0000,250,20,0.0000,0.000233,1.979214,eps,,,,
16584,70,0.9842,0.0000,250,17,0.0000,0.000376,1.911600,eps,,,,
16834,71,0.9840,0.0000,250,18,0.0000,0.000773,1.942627,eps,,,,
17084,72,0.9838,0.0000,250,10,0.0000,0.001082,1.959266,eps,,,,
17334,73,0.9835,0.0000,250,21,0.0000,0.000150,1.946724,eps,,,,
17584,74,0.9833,0.0000,250,34,0.0160,0.000482,1.926485,eps,,,,
17675,75,0.9832,0.6724,91,21,0.0330,0.000397,1.947789,eps,,,,
17796,76,0.9831,0.5644,121,20,0.0000,0.001459,1.914290,eps,,,,
17957,77,0.9829,0.4204,161,30,0.0124,0.000205,1.948384,eps,,,,
18207,78,0.9827,0.0000,250,16,0.0000,0.009908,1.926624,eps,,,,
18457,79,0.9825,0.0000,250,8,0.0000,0.000125,1.951309,eps,,,,
18707,80,0.9822,0.0000,250,19,0.0000,0.000092,1.905523,eps,,,,
